Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
191,Saint-Vincent-et-les Grenadines,718.74,86339.792,0.0,81008.4816,0.0,3318.0,878.8000000000001
192,Saint-Marin,0.0,3242.008,0.0,10095.2271,33352678.907117646,33120962.228784315,3034.9288039215703
193,Sao Tom?-et-Principe,22.22,0.0,0.0,9800.6022,30.0,1012.0,0.0
193,Sao Tomé-et-Principe,0.0,1761.889,0.0,0.0,0.0,0.0,51.35
194,Arabie saoudite,-361.35,24356433.64,0.0,77949.9144,35575254.0,16451370.0,27429.84
195,S?n?gal,-16.39,0.0,0.0,10819.818,14896.0,28995.0,0.0
195,Sénégal,0.0,127916.768,0.0,0.0,0.0,0.0,59.53
196,Chypre,0.0,0.0,74.632758,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
196,Seychelles,588.06,74585.456,0.0,75103.6896,0.0,610.0,0.0
197,Sierra Leone,-105.93,4867316.916,0.0,68922.6048,0.0,53305.0,928.88
198,Slov?nie,80.63,0.0,0.0,9136.5472,439902.0,1267578.0,0.0
198,Slovénie,0.0,18582.684999999998,0.0,0.0,0.0,0.0,97.12
199,Slovaquie,920.7,5374289.36,0.0,98002.215,457810704.0,469670994.0,19495.08
200,Singapour,1243.44,4896042.327,0.0,90223.7211,108.0,2070860.0,0.0
201,Somalie,-2336.4,11999116.602,0.0,100235.5884,48564.0,518.0,0.0
202,Afrique du Sud,-104.94,43179925.448,0.0,83098.7064,23927772.0,1698504.0,10810.8
203,Espagne,146.52,46357646.17,0.0,99239.751,204185070.0,564699564.0,34308.36
203,Tch?quie,0.0,0.0,384.640884,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
204,B?nin,0.0,0.0,244.285346,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
205,Sahara occidental,0.0,4668.532,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
206,Soudan (ex),0.0,89233.757,0.0,0.0,0.0,1381.0,0.0
207,Suriname,116.82000000000001,437943.968,0.0,110738.3616,936.0,47268.0,1371.6
208,Danemark,0.0,0.0,165.194279,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
208,Tadjikistan,-872.1899999999999,8196215.61,0.0,98881.092,31200.0,3133800.0,5275.2
209,Eswatini,-336.6,977837.5530000001,0.0,90782.0622,5135025.0,5252800.0,12390.0
210,Su?de,106.59,0.0,0.0,10520.4105,1091094.0,69642.0,0.0
210,Suède,0.0,87187.328,0.0,0.0,0.0,0.0,105.08
211,Suisse,794.97,4863979.956,0.0,61240.0878,22639680.0,3745224.0,26746.56
212,Dominique,0.0,0.0,239.330355,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
212,R?publique arabe syrienne,-214.39000000000001,0.0,0.0,10622.2448,30060.0,1847555.0,0.0
212,République arabe syrienne,0.0,170676.09,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
